County,White,Black,Asian,AIAN,NHPI,Hispanic
"Christian County, Illinois",38,0,0,0,0,-
"Clark County, Illinois",34,0,0,0,0,-
"Clinton County, Illinois",176,7,0,0,0,17
"Coles County, Illinois",225,15,0,0,0,6
"Cook County, Illinois",8695,6350,1526,89,186,10256
"Crawford County, Illinois",21,0,0,0,0,0
"Cumberland County, Illinois",28,0,-,-,-,-
"DeKalb County, Illinois",295,67,9,0,0,261
"DeWitt County, Illinois",17,0,-,-,-,-
"Douglas County, Illinois",56,0,0,0,0,18
"DuPage County, Illinois",3111,549,671,16,30,3119
"Edgar County, Illinois",14,0,-,-,-,-
"Effingham County, Illinois",34,0,-,-,-,-
"Fayette County, Illinois",24,0,0,0,0,0
"Ford County, Illinois",26,0,-,-,-,-
"Franklin County, Illinois",40,0,0,0,0,0
"Fulton County, Illinois",12,0,0,0,0,0
"Grundy County, Illinois",113,0,0,0,0,27
"Hancock County, Illinois",18,0,-,-,-,-
"Henderson County, Illinois",7,0,-,-,-,-
"Henry County, Illinois",84,0,0,0,0,16
"Iroquois County, Illinois",143,0,0,0,0,24
"Jackson County, Illinois",187,102,0,0,0,99
"Jasper County, Illinois",45,0,0,0,0,0
"Jefferson County, Illinois",80,7,0,0,0,0
